QUARTER,TIME_REMAINING,MIAMI_ACTION,NEW YORK_ACTION,MIAMI_SCORE,NEW YORK_SCORE
3,1:34.0,Turnover by D. Wade (offensive foul),,76,75
3,1:21.0,,D. Smith makes 2-pt jump shot from 18 ft,76,77
3,1:08.0,Turnover by J. Johnson (bad pass),,76,77
3,0:51.0,,L. Kornet misses 3-pt jump shot from 22 ft,76,77
3,0:49.0,Defensive rebound by B. Adebayo,,76,77
3,0:35.0,J. Johnson makes 3-pt jump shot from 26 ft (assist by B. Adebayo),,79,77
3,0:14.0,,D. Smith makes 2-pt jump shot from 19 ft,79,79
3,0:01.0,D. Waiters misses 3-pt jump shot from 26 ft,,79,79
3,0:00.0,Offensive rebound by D. Wade,,79,79
4,11:42.0,H. Whiteside makes 2-pt hook shot from 6 ft (assist by G. Dragić),,81,79
4,11:26.0,,L. Kornet misses 2-pt jump shot from 14 ft,81,79
4,11:25.0,Defensive rebound by G. Dragić,,81,79
4,11:09.0,D. Wade makes 2-pt layup from 3 ft (assist by G. Dragić),,83,79
4,10:46.0,,L. Kornet misses 3-pt jump shot from 23 ft (block by H. Whiteside),83,79
4,10:44.0,Defensive rebound by D. Wade,,83,79
4,10:31.0,D. Wade makes 2-pt layup from 1 ft,,85,79
4,10:31.0,,New York full timeout,85,79
4,10:31.0,,M. Robinson enters the game for L. Kornet,85,79
4,10:11.0,,E. Mudiay misses 3-pt jump shot from 25 ft,85,79
4,10:09.0,Defensive rebound by H. Whiteside,,85,79
4,9:57.0,D. Wade misses 2-pt jump shot from 5 ft (block by M. Robinson),,85,79
4,9:56.0,Offensive rebound by Team,,85,79
4,9:56.0,,K. Knox enters the game for K. Allen,85,79
4,9:54.0,G. Dragić misses 2-pt jump shot from 20 ft,,85,79
4,9:52.0,,Defensive rebound by L. Thomas,85,79
4,9:45.0,,D. Smith misses 2-pt jump shot from 13 ft,85,79
4,9:43.0,Defensive rebound by K. Olynyk,,85,79
4,9:33.0,D. Wade misses 2-pt jump shot from 11 ft,,85,79
4,9:31.0,Offensive rebound by H. Whiteside,,85,79
4,9:29.0,Shooting foul by K. Knox (drawn by H. Whiteside),,85,79
4,9:29.0,H. Whiteside makes free throw 1 of 2,,86,79
4,9:29.0,H. Whiteside makes free throw 2 of 2,,87,79
4,9:10.0,,D. Smith misses 3-pt jump shot from 24 ft,87,79
