QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,DALLAS_ACTION,OKLAHOMA CITY_SCORE,DALLAS_SCORE
3,3:57.0,,Defensive rebound by L. Dončić,64,75
3,3:52.0,,L. Dončić makes 2-pt layup from 6 ft,64,77
3,3:40.0,D. Schröder misses 2-pt layup from 2 ft,,64,77
3,3:36.0,Offensive rebound by N. Noel,,64,77
3,3:36.0,N. Noel makes 2-pt layup from 1 ft,,66,77
3,3:19.0,,H. Barnes makes 2-pt jump shot from 4 ft (assist by L. Dončić),66,79
3,3:04.0,Turnover by P. George (bad pass; steal by L. Dončić),,66,79
3,2:48.0,,J. Barea misses 2-pt jump shot from 6 ft,66,79
3,2:45.0,Defensive rebound by N. Noel,,66,79
3,2:39.0,D. Schröder misses 3-pt jump shot from 25 ft,,66,79
3,2:38.0,,Defensive rebound by H. Barnes,66,79
3,2:37.0,,Dallas full timeout,66,79
3,2:37.0,R. Felton enters the game for D. Schröder,,66,79
3,2:37.0,,W. Matthews enters the game for L. Dončić,66,79
3,2:37.0,,D. Powell enters the game for D. Jordan,66,79
3,2:25.0,,Shooting foul by N. Noel (drawn by H. Barnes),66,79
3,2:25.0,,H. Barnes misses free throw 1 of 2,66,79
3,2:25.0,,Offensive rebound by Team,66,79
3,2:25.0,S. Adams enters the game for N. Noel,,66,79
3,2:25.0,,H. Barnes makes free throw 2 of 2,66,80
3,2:09.0,S. Adams makes 2-pt dunk from 1 ft,,68,80
3,1:50.0,,J. Barea misses 3-pt jump shot from 26 ft,68,80
3,1:47.0,Defensive rebound by J. Grant,,68,80
3,1:37.0,P. George makes 2-pt jump shot from 18 ft,,70,80
3,1:22.0,,W. Matthews misses 2-pt jump shot from 8 ft,70,80
3,1:20.0,Defensive rebound by S. Adams,,70,80
3,1:13.0,P. George misses 3-pt jump shot from 24 ft,,70,80
3,1:10.0,Offensive rebound by P. George,,70,80
3,1:08.0,Á. Abrines misses 3-pt jump shot from 25 ft,,70,80
3,1:05.0,,Defensive rebound by D. Finney-Smith,70,80
3,0:56.0,,J. Barea makes 2-pt jump shot from 14 ft,70,82
3,0:35.0,J. Grant misses 3-pt jump shot from 23 ft,,70,82
3,0:33.0,Offensive rebound by S. Adams,,70,82
3,0:24.0,R. Felton misses 3-pt jump shot from 26 ft,,70,82
3,0:20.0,,Defensive rebound by D. Powell,70,82
3,0:07.0,,Personal take foul by R. Felton (drawn by J. Barea),70,82
3,0:03.0,,Offensive foul by H. Barnes (drawn by J. Grant),70,82
3,0:03.0,,Turnover by H. Barnes (offensive foul),70,82
3,0:03.0,,M. Kleber enters the game for H. Barnes,70,82
3,0:00.0,Turnover by P. George (out of bounds lost ball),,70,82
3,0:00.0,Violation by Team (delay of game),,70,82
4,11:52.0,P. George misses 3-pt jump shot from 25 ft,,70,82
4,11:47.0,,Defensive rebound by D. Powell,70,82
4,11:31.0,,D. Finney-Smith misses 2-pt layup from 4 ft,70,82
4,11:25.0,,Offensive rebound by D. Finney-Smith,70,82
4,11:25.0,,D. Finney-Smith makes 2-pt layup at rim,70,84
4,11:20.0,R. Felton makes 3-pt jump shot from 26 ft (assist by P. George),,73,84
4,10:58.0,,D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by J. Barea),73,87
4,10:45.0,R. Felton makes 2-pt layup from 1 ft,,75,87
4,10:26.0,,M. Kleber misses 3-pt jump shot from 24 ft,75,87
4,10:22.0,Defensive rebound by P. George,,75,87
4,10:17.0,P. Patterson makes 2-pt hook shot from 1 ft (assist by P. George),,77,87
4,10:01.0,,D. Harris makes 2-pt jump shot from 9 ft (assist by J. Barea),77,89
4,9:58.0,,Violation by Team (delay of game),77,89
4,9:49.0,P. George misses 3-pt jump shot from 27 ft,,77,89
4,9:46.0,,Defensive rebound by D. Harris,77,89
4,9:30.0,,J. Barea misses 2-pt layup from 3 ft,77,89
4,9:28.0,Defensive rebound by P. George,,77,89
4,9:24.0,S. Adams makes 2-pt layup from 1 ft (assist by R. Felton),,79,89
4,9:09.0,,D. Harris makes 2-pt layup from 1 ft,79,91
4,8:47.0,Á. Abrines makes 3-pt jump shot from 26 ft (assist by S. Adams),,82,91
4,8:27.0,,J. Barea makes 3-pt jump shot from 26 ft (assist by D. Harris),82,94
4,8:18.0,Turnover by P. George (out of bounds lost ball),,82,94
4,8:18.0,T. Ferguson enters the game for P. George,,82,94
4,8:07.0,,D. Finney-Smith makes 2-pt dunk from 1 ft (assist by J. Barea),82,96
4,7:54.0,Personal foul by M. Kleber (drawn by P. Patterson),,82,96
4,7:45.0,R. Felton misses 3-pt jump shot from 26 ft,,82,96
4,7:43.0,,Defensive rebound by D. Harris,82,96
4,7:33.0,,D. Powell misses 3-pt jump shot from 23 ft,82,96
4,7:31.0,,Offensive rebound by M. Kleber,82,96
4,7:30.0,,M. Kleber makes 2-pt dunk at rim,82,98
4,7:10.0,R. Felton misses 2-pt layup at rim,,82,98
4,7:10.0,Offensive rebound by S. Adams,,82,98
4,7:10.0,Shooting foul by M. Kleber (drawn by S. Adams),,82,98
4,7:10.0,S. Adams makes free throw 1 of 2,,83,98
4,7:10.0,D. Schröder enters the game for Á. Abrines,,83,98
4,7:10.0,S. Adams misses free throw 2 of 2,,83,98
4,7:03.0,Offensive rebound by D. Schröder,,83,98
4,6:54.0,P. Patterson makes 3-pt jump shot from 25 ft (assist by R. Felton),,86,98
4,6:53.0,,Dallas full timeout,86,98
4,6:53.0,,L. Dončić enters the game for D. Finney-Smith,86,98
4,6:53.0,,W. Matthews enters the game for D. Harris,86,98
4,6:41.0,,M. Kleber makes 3-pt jump shot from 25 ft (assist by J. Barea),86,101
4,6:27.0,P. Patterson misses 3-pt jump shot from 22 ft,,86,101
4,6:25.0,Offensive rebound by T. Ferguson,,86,101
4,6:13.0,R. Felton misses 3-pt jump shot from 25 ft,,86,101
4,6:11.0,Offensive rebound by P. Patterson,,86,101
4,6:10.0,P. Patterson misses 2-pt jump shot from 7 ft,,86,101
4,6:10.0,,Defensive rebound by J. Barea,86,101
4,5:53.0,,L. Dončić makes 2-pt layup from 1 ft (assist by M. Kleber),86,103
4,5:53.0,Oklahoma City full timeout,,86,103
4,5:53.0,P. George enters the game for R. Felton,,86,103
4,5:53.0,J. Grant enters the game for P. Patterson,,86,103
4,5:30.0,Turnover by J. Grant (bad pass; steal by W. Matthews),,86,103
4,5:29.0,,Shooting foul by P. George (drawn by W. Matthews),86,103
4,5:29.0,,W. Matthews misses free throw 1 of 2,86,103
4,5:29.0,,Offensive rebound by Team,86,103
4,5:29.0,,D. Smith enters the game for J. Barea,86,103
4,5:29.0,,W. Matthews misses free throw 2 of 2,86,103
4,5:27.0,Defensive rebound by P. George,,86,103
4,5:16.0,P. George misses 3-pt jump shot from 25 ft,,86,103
4,5:12.0,Offensive rebound by D. Schröder,,86,103
