QUARTER,TIME_REMAINING,DENVER_ACTION,ORLANDO_ACTION,DENVER_SCORE,ORLANDO_SCORE
4,5:58.0,,E. Fournier makes 3-pt jump shot from 24 ft (assist by N. Vučević),99,101
4,5:40.0,M. Beasley makes 2-pt dunk from 1 ft (assist by M. Plumlee),,101,101
4,5:16.0,,T. Ross makes 2-pt jump shot from 19 ft,101,103
4,5:04.0,Personal foul by A. Gordon (drawn by P. Millsap),,101,103
4,5:04.0,P. Millsap makes free throw 1 of 2,,102,103
4,5:04.0,N. Jokić enters the game for M. Plumlee,,102,103
4,5:04.0,,D. Augustin enters the game for J. Grant,102,103
4,5:04.0,,J. Isaac enters the game for T. Ross,102,103
4,5:04.0,P. Millsap makes free throw 2 of 2,,103,103
4,4:44.0,,N. Vučević misses 2-pt hook shot from 10 ft,103,103
4,4:40.0,Defensive rebound by P. Millsap,,103,103
4,4:25.0,J. Hernangómez makes 2-pt layup from 2 ft (assist by N. Jokić),,105,103
4,4:07.0,,J. Isaac misses 3-pt jump shot from 23 ft,105,103
4,4:07.0,,Offensive rebound by Team,105,103
4,4:07.0,,Personal foul by J. Murray (drawn by N. Vučević),105,103
4,3:53.0,,Turnover by Team (shot clock),105,103
4,3:33.0,N. Jokić makes 2-pt layup from 1 ft (assist by P. Millsap),,107,103
4,3:33.0,,Orlando full timeout,107,103
4,3:33.0,,T. Ross enters the game for J. Isaac,107,103
4,3:17.0,,A. Gordon misses 3-pt jump shot from 25 ft,107,103
4,3:14.0,Defensive rebound by J. Murray,,107,103
4,3:05.0,J. Murray misses 2-pt layup from 6 ft,,107,103
4,3:05.0,,Defensive rebound by Team,107,103
4,3:05.0,Loose ball foul by J. Murray (drawn by E. Fournier),,107,103
4,3:05.0,,E. Fournier makes free throw 1 of 2,107,104
4,3:05.0,,E. Fournier makes free throw 2 of 2,107,105
4,3:05.0,Denver full timeout,,107,105
4,2:48.0,J. Murray misses 2-pt jump shot from 13 ft,,107,105
4,2:45.0,,Defensive rebound by A. Gordon,107,105
4,2:41.0,,T. Ross misses 3-pt jump shot from 26 ft,107,105
4,2:37.0,Defensive rebound by N. Jokić,,107,105
4,2:25.0,J. Hernangómez makes 3-pt jump shot from 27 ft (assist by J. Murray),,110,105
4,2:02.0,,E. Fournier misses 2-pt layup from 2 ft,110,105
4,1:58.0,,Offensive rebound by A. Gordon,110,105
4,1:58.0,,A. Gordon makes 2-pt dunk from 1 ft,110,107
4,1:48.0,N. Jokić makes 2-pt jump shot from 13 ft (assist by J. Murray),,112,107
4,1:35.0,,E. Fournier makes 2-pt layup from 2 ft,112,109
4,1:21.0,N. Jokić misses 3-pt jump shot from 28 ft,,112,109
4,1:16.0,,Defensive rebound by A. Gordon,112,109
4,1:03.0,,T. Ross misses 3-pt jump shot from 26 ft,112,109
4,1:02.0,Defensive rebound by Team,,112,109
4,0:42.0,N. Jokić misses 2-pt layup from 2 ft (block by A. Gordon),,112,109
4,0:38.0,,Defensive rebound by N. Vučević,112,109
4,0:35.0,,A. Gordon misses 3-pt jump shot from 28 ft,112,109
4,0:31.0,Defensive rebound by J. Hernangómez,,112,109
4,0:10.0,J. Murray misses 2-pt layup from 6 ft (block by E. Fournier),,112,109
4,0:09.0,,Defensive rebound by E. Fournier,112,109
4,0:09.0,,Orlando full timeout,112,109
4,0:09.0,T. Craig enters the game for N. Jokić,,112,109
4,0:09.0,M. Plumlee enters the game for J. Murray,,112,109
4,0:07.0,,T. Ross makes 3-pt jump shot from 25 ft (assist by A. Gordon),112,112
4,0:06.0,Denver full timeout,,112,112
4,0:06.0,N. Jokić enters the game for T. Craig,,112,112
